code:ID,name:STRING,country:STRING
8B,BusinessAir,Thailand
YR,SENIC AIRLINES,United States
C7,Sky Wing Pacific,South Korea
PP,Air Indus,Pakistan
MM,Peach Aviation,Japan
U1,Aviabus,Russia
DF,Michael Airlines,Puerto Rico
ZC,Korongo Airlines,Congo (Kinshasa)
I5,Indonesia Sky,Indonesia
B0,Aws express,United States
76,Southjet,United States
77,Southjet connect,United States
78,Southjet cargo,United States
I2,Iberia Express,Spain
4O,Interjet (ABC Aerolineas),Mexico
OG,AirOnix,Ukraine
NJ,Nordic Global Airlines,Finland
TZ,Scoot,Singapore
5K,Hi Fly (5K),Portugal
WH,China Northwest Airlines (WH),China
ZN,Zenith International Airline,Thailand
O1,Orbit Airlines Azerbaijan,Azerbaijan
A6,Air Alps Aviation (A6),Austria
P4,Patriot Airways,United States
V2,Vision Airlines (V2),United States
5Q,BQB Lineas Aereas,Uruguay
YE,Yellowtail,United States
KG,Royal Airways,United States
FH,FlyHigh Airlines Ireland (FH),Ireland
2D,Aero VIP (2D),Portugal
YH,Yangon Airways Ltd.,Burma
TJ,T.J. Air,United States
SX,SkyWork Airlines ,Switzerland
W2,Maastricht Airlines,Netherlands
24,Euro Jet,Germany
Q3,SOCHI AIR CHATER,Russia
J7,Denim Air ,Norway
OD,Malindo Air,Malaysia
Z9,Flightlink Tanzania,Tanzania
I8,IzAvia,Russia
M1,Maryland Air,United States
7I,Insel Air (7I/INC) (Priv),Netherlands Antilles
5Z,VivaColombia,Colombia
ZM,Apache Air,United States
M2,MHS Aviation GmbH,Germany
NR,Jettor Airlines,Hong Kong
SL,Thai Lion Air,Thailand
N8,National Air Cargo,United States
13,Eastern Atlantic Virtual Airlines,United States
QG,Citilink Indonesia,Indonesia
S8,Snowbird Airlines,Finland
KH,Kharkiv Airlines,Ukraine
XA,XAIR USA,United States
LB,Air Costa,India
XP,XPTO,Portugal
3W,Malawian Airlines,Malawi
..,Avilu,Switzerland
JU,Air Serbia,Serbia
LT,Air Lituanica,Lithuania
RN,Rainbow Air (RAI),United States
RY,Rainbow Air Canada,Canada
RX,Rainbow Air Polynesia,United States
RU,Rainbow Air Euro,United Kingdom
RM,Rainbow Air US,United States
QD,Dobrolet,Russia
S0,Spike Airlines,United States
L1,All Argentina,Argentina
A2,All America,United States
L9,All Asia,China
9A,All Africa,South Africa
N4,Regionalia México,Mexico
N9,All Europe,United Kingdom
N7,All Spain,Spain
9N,Regional Air Iceland,Iceland
8K,Voestar,Brazil
7O,All Colombia,Colombia
2X,Regionalia Uruguay,Uruguay
9X,Regionalia Venezuela,Venezuela
9J,Regionalia Chile,Chile
6C,Vuela Cuba,Cuba
88,All Australia,Australia
ER,Fly Europa,Spain
PO,FlyPortugal,Portugal
IJ,Spring Airlines Japan,Japan
KP,Dense Airways,United States
KZ,Dense Connection,United States
4S,Vuola Italia,Italy
1X,Island Express Air,Canada
Z0,All Argentina Express,Argentina
WE,Thai Smile Airways,Thailand
I4,International AirLink,Jamaica
RT,Real Tonga,Tonga
2R,All America AR,Argentina
1R,All America CL,Chile
Q4,SOCHI AIR EXPRESS,Russia
1Y,All America BR,Brazil
9V,Volotea Costa Rica,Costa Rica
X5,Fly Romania,Romania
E2,Eagle Atlantic Airlines,Ghana
0Y,All America CO,Colombia
0M,All America MX,Mexico
FX,FOX Linhas Aereas,Brazil
QP,Air Kenya (Priv),Kenya
6V,Via Conectia Airlines,Uruguay
E8,City Airways,Thailand
DU,Norwegian Long Haul AS,Norway
M8,TransNusa Air,Indonesia
ZT,Tomp Airlines,Chile
J1,OneJet,United States
0G,Global Airlines,Argentina
UK,Air Vistara,India
1E,TransRussiaAirlines,Russia
D2,Severstal Air Company,Russia
RR,REXAIR VIRTUEL,France
WR,WestJet Encore,Canada
OP,Air Pegasus,India
9I,International Europe,Spain
ZV,V Air,Taiwan
4B,Boutique Air (Priv),United States
V7,VOLOTEA Airways,Spain
Z5,INAVIA Internacional,Argentina
LE,Liberty Airways,United States
АЯ,Аэросервис,Russia
5B,Bassaka airlines,Cambodia
Q7,SkyBahamas Airlines,Bahamas
UW,UVT Aero,Russia
3M,Silver Airways (3M),United States
I3,ATA Airlines (Iran),Iran
V1,VIA Líneas Aéreas,Argentina
GX,GermanXL,Germany
FF,Fly France,France
EX,Europe Jet,France
W3,World Scale Airlines,United States
AG,All America US,United States
1K,BudgetAir,Germany
F5,Fly One,Moldova
EE,Nordica,Estonia
0P,All America BOPY,Paraguay
JG,Jetgo Australia,Australia
2S,Air Carnival,India
7R,Svyaz Rossiya,Russia
